scope	from	relation	to	evidence_path	evidence_kind	reviewed_revision	status	notes
viewmodel_constructor	TodayViewModel	depends_on	ProgressRepository	app/src/main/java/com/stemcampathome/ui/screens/today/TodayViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	LessonsMapViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/lessons/LessonsMapViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	LessonsMapViewModel	depends_on	ProgressRepository	app/src/main/java/com/stemcampathome/ui/screens/lessons/LessonsMapViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	GuidedLessonViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/guided/GuidedLessonViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	GuidedLessonViewModel	depends_on	ProgressRepository	app/src/main/java/com/stemcampathome/ui/screens/guided/GuidedLessonViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	CompletionViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/completion/CompletionViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	CompletionViewModel	depends_on	ProgressRepository	app/src/main/java/com/stemcampathome/ui/screens/completion/CompletionViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	ProgressBadgesViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/progress/ProgressBadgesViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	ProgressBadgesViewModel	depends_on	ProgressRepository	app/src/main/java/com/stemcampathome/ui/screens/progress/ProgressBadgesViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	NotebookViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/notebook/NotebookViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	NotebookViewModel	depends_on	NotebookRepository	app/src/main/java/com/stemcampathome/ui/screens/notebook/NotebookViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	ParentSettingsViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/parent/ParentSettingsViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	ParentSettingsViewModel	depends_on	ProgressRepository	app/src/main/java/com/stemcampathome/ui/screens/parent/ParentSettingsViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	ParentSettingsViewModel	depends_on	NotebookRepository	app/src/main/java/com/stemcampathome/ui/screens/parent/ParentSettingsViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
